year,department,sex,age_group,value
2012,2B,All,75-79,6751
2012,2B,All,80-84,5388
2012,2B,All,85-89,3287
2012,2B,All,90-94,1300
2012,2B,All,95+,365
2012,2B,All,Total,170828
2012,21,All,0-4,29294
2012,21,All,5-9,29846
2012,21,All,10-14,30854
2012,21,All,15-19,32965
2012,21,All,20-24,38305
2012,21,All,25-29,32635
2012,21,All,30-34,31861
2012,21,All,35-39,32751
2012,21,All,40-44,35263
2012,21,All,45-49,35301
2012,21,All,50-54,35860
2012,21,All,55-59,34638
2012,21,All,60-64,35202
2012,21,All,65-69,24329
2012,21,All,70-74,19095
2012,21,All,75-79,18001
2012,21,All,80-84,15239
2012,21,All,85-89,10519
2012,21,All,90-94,4160
2012,21,All,95+,1285
2012,21,All,Total,527403
2012,22,All,0-4,33047
2012,22,All,5-9,36174
2012,22,All,10-14,36566
2012,22,All,15-19,31471
2012,22,All,20-24,26706
2012,22,All,25-29,27658
2012,22,All,30-34,30705
2012,22,All,35-39,35769
2012,22,All,40-44,39085
2012,22,All,45-49,39246
2012,22,All,50-54,40590
2012,22,All,55-59,41241
2012,22,All,60-64,45239
2012,22,All,65-69,33034
2012,22,All,70-74,27799
2012,22,All,75-79,27398
2012,22,All,80-84,22552
2012,22,All,85-89,14605
2012,22,All,90-94,5345
2012,22,All,95+,1301
2012,22,All,Total,595531
2012,23,All,0-4,5078
2012,23,All,5-9,5744
2012,23,All,10-14,6264
2012,23,All,15-19,5656
2012,23,All,20-24,4800
2012,23,All,25-29,4813
2012,23,All,30-34,5307
2012,23,All,35-39,6410
2012,23,All,40-44,7823
2012,23,All,45-49,8488
2012,23,All,50-54,9145
2012,23,All,55-59,9327
2012,23,All,60-64,10273
2012,23,All,65-69,7234
2012,23,All,70-74,6209
2012,23,All,75-79,6861
2012,23,All,80-84,6001
2012,23,All,85-89,4181
2012,23,All,90-94,1419
2012,23,All,95+,484
2012,23,All,Total,121517
2012,24,All,0-4,19149
2012,24,All,5-9,21386
2012,24,All,10-14,23025
2012,24,All,15-19,20209
2012,24,All,20-24,17168
2012,24,All,25-29,18037
2012,24,All,30-34,20054
2012,24,All,35-39,23298
2012,24,All,40-44,27171
2012,24,All,45-49,29234
2012,24,All,50-54,29834
2012,24,All,55-59,30747
2012,24,All,60-64,34145
2012,24,All,65-69,25905
2012,24,All,70-74,20874
2012,24,All,75-79,20924
2012,24,All,80-84,17675
2012,24,All,85-89,11837
2012,24,All,90-94,4564
2012,24,All,95+,1148
2012,24,All,Total,416384
2012,25,All,0-4,33990
2012,25,All,5-9,33104
2012,25,All,10-14,32358
2012,25,All,15-19,34128
2012,25,All,20-24,35307
2012,25,All,25-29,34344
2012,25,All,30-34,33826
2012,25,All,35-39,34022
2012,25,All,40-44,36146
2012,25,All,45-49,35581
2012,25,All,50-54,34217
2012,25,All,55-59,32826
2012,25,All,60-64,33026
2012,25,All,65-69,23829
2012,25,All,70-74,19364
2012,25,All,75-79,17973
2012,25,All,80-84,14393
2012,25,All,85-89,8540
2012,25,All,90-94,3254
2012,25,All,95+,834
2012,25,All,Total,531062
2012,26,All,0-4,30186
2012,26,All,5-9,31419
2012,26,All,10-14,31379
2012,26,All,15-19,28507
2012,26,All,20-24,24958
2012,26,All,25-29,26394
2012,26,All,30-34,28067
2012,26,All,35-39,30284
2012,26,All,40-44,34480
2012,26,All,45-49,35193
2012,26,All,50-54,33108
2012,26,All,55-59,32059
2012,26,All,60-64,32987
2012,26,All,65-69,25587
2012,26,All,70-74,20378
2012,26,All,75-79,18152
2012,26,All,80-84,14342
2012,26,All,85-89,9366
2012,26,All,90-94,3567
2012,26,All,95+,921
2012,26,All,Total,491334
2012,27,All,0-4,39622
2012,27,All,5-9,40376
2012,27,All,10-14,40749
2012,27,All,15-19,34887
2012,27,All,20-24,30042
2012,27,All,25-29,33404
2012,27,All,30-34,36715
2012,27,All,35-39,40108
2012,27,All,40-44,42303
2012,27,All,45-49,41825
2012,27,All,50-54,40624
2012,27,All,55-59,39526
2012,27,All,60-64,39044
2012,27,All,65-69,26216
2012,27,All,70-74,19705
2012,27,All,75-79,18639
2012,27,All,80-84,14510
2012,27,All,85-89,9063
2012,27,All,90-94,3361
2012,27,All,95+,897
2012,27,All,Total,591616
2012,28,All,0-4,28330
2012,28,All,5-9,29428
2012,28,All,10-14,28568
2012,28,All,15-19,24294
2012,28,All,20-24,22028
2012,28,All,25-29,24491
2012,28,All,30-34,26383
2012,28,All,35-39,28497
2012,28,All,40-44,30240
2012,28,All,45-49,30063
2012,28,All,50-54,29085
2012,28,All,55-59,29045
2012,28,All,60-64,28505
2012,28,All,65-69,19056
2012,28,All,70-74,15453
2012,28,All,75-79,14427
2012,28,All,80-84,12022
2012,28,All,85-89,8206
2012,28,All,90-94,3096
2012,28,All,95+,890
2012,28,All,Total,432107
2012,29,All,0-4,49749
2012,29,All,5-9,53319
2012,29,All,10-14,55038
2012,29,All,15-19,51398
2012,29,All,20-24,48414
2012,29,All,25-29,48428
2012,29,All,30-34,50921
2012,29,All,35-39,56355
2012,29,All,40-44,61262
2012,29,All,45-49,61989
2012,29,All,50-54,62651
2012,29,All,55-59,60993
2012,29,All,60-64,62995
2012,29,All,65-69,44226
2012,29,All,70-74,37908
2012,29,All,75-79,37370
2012,29,All,80-84,30562
2012,29,All,85-89,19276
2012,29,All,90-94,6815
2012,29,All,95+,1624
2012,29,All,Total,901293
2012,30,All,0-4,41816
2012,30,All,5-9,43702
2012,30,All,10-14,45308
2012,30,All,15-19,41230
2012,30,All,20-24,38502
2012,30,All,25-29,37679
2012,30,All,30-34,40362
2012,30,All,35-39,44010
2012,30,All,40-44,51022
2012,30,All,45-49,51286
2012,30,All,50-54,50489
2012,30,All,55-59,48883
2012,30,All,60-64,50454
2012,30,All,65-69,39418
2012,30,All,70-74,29804
2012,30,All,75-79,27688
2012,30,All,80-84,22421
2012,30,All,85-89,14372
2012,30,All,90-94,5599
2012,30,All,95+,1573
2012,30,All,Total,725618
2012,31,All,0-4,76394
2012,31,All,5-9,74387
2012,31,All,10-14,74813
2012,31,All,15-19,84447
2012,31,All,20-24,100601
2012,31,All,25-29,92416
2012,31,All,30-34,90602
2012,31,All,35-39,88769
2012,31,All,40-44,90165
2012,31,All,45-49,90417
2012,31,All,50-54,81734
2012,31,All,55-59,74328
2012,31,All,60-64,69968
2012,31,All,65-69,51950
2012,31,All,70-74,39134
2012,31,All,75-79,37855
2012,31,All,80-84,30646
2012,31,All,85-89,20371
2012,31,All,90-94,8080
2012,31,All,95+,2272
2012,31,All,Total,1279349
2012,32,All,0-4,9023
2012,32,All,5-9,10027
2012,32,All,10-14,10922
2012,32,All,15-19,9317
2012,32,All,20-24,7395
2012,32,All,25-29,7928
2012,32,All,30-34,9095
2012,32,All,35-39,10894
2012,32,All,40-44,12914
2012,32,All,45-49,13710
2012,32,All,50-54,13688
2012,32,All,55-59,14074
2012,32,All,60-64,14683
2012,32,All,65-69,11035
2012,32,All,70-74,9296
2012,32,All,75-79,9378
2012,32,All,80-84,7963
2012,32,All,85-89,5446
2012,32,All,90-94,2100
2012,32,All,95+,642
2012,32,All,Total,189530
2012,33,All,0-4,84507
2012,33,All,5-9,86012
2012,33,All,10-14,87780
2012,33,All,15-19,91713
2012,33,All,20-24,101392
2012,33,All,25-29,91014
2012,33,All,30-34,94223
2012,33,All,35-39,100853
2012,33,All,40-44,105443
2012,33,All,45-49,102883
2012,33,All,50-54,97601
2012,33,All,55-59,94409
2012,33,All,60-64,95147
2012,33,All,65-69,67321
2012,33,All,70-74,50156
2012,33,All,75-79,49688
2012,33,All,80-84,41127
2012,33,All,85-89,28128
2012,33,All,90-94,11155
2012,33,All,95+,3160
2012,33,All,Total,1483712
2012,34,All,0-4,60894
2012,34,All,5-9,60301
2012,34,All,10-14,62457
2012,34,All,15-19,68498
2012,34,All,20-24,75284
2012,34,All,25-29,65298
2012,34,All,30-34,64893
2012,34,All,35-39,66986
2012,34,All,40-44,72778
2012,34,All,45-49,72693
2012,34,All,50-54,67908
2012,34,All,55-59,66495
2012,34,All,60-64,70915
2012,34,All,65-69,57425
2012,34,All,70-74,42234
2012,34,All,75-79,39287
2012,34,All,80-84,31745
2012,34,All,85-89,20930
2012,34,All,90-94,8412
2012,34,All,95+,2194
2012,34,All,Total,1077627
2012,35,All,0-4,65088
2012,35,All,5-9,65883
2012,35,All,10-14,64739
2012,35,All,15-19,68050
2012,35,All,20-24,71034
2012,35,All,25-29,63283
2012,35,All,30-34,65611
2012,35,All,35-39,67877
2012,35,All,40-44,70476
2012,35,All,45-49,68184
2012,35,All,50-54,63870
2012,35,All,55-59,59248
2012,35,All,60-64,58089
2012,35,All,65-69,39010
2012,35,All,70-74,33435
2012,35,All,75-79,32405
2012,35,All,80-84,26591
2012,35,All,85-89,17185
2012,35,All,90-94,6312
2012,35,All,95+,1531
2012,35,All,Total,1007901
2012,36,All,0-4,11263
2012,36,All,5-9,12206
2012,36,All,10-14,12980
2012,36,All,15-19,11343
2012,36,All,20-24,9598
2012,36,All,25-29,10318
2012,36,All,30-34,11166
2012,36,All,35-39,13498
2012,36,All,40-44,15255
2012,36,All,45-49,16037
2012,36,All,50-54,16004
2012,36,All,55-59,16668
2012,36,All,60-64,17575
2012,36,All,65-69,13146
2012,36,All,70-74,11126
2012,36,All,75-79,11574
2012,36,All,80-84,9665
2012,36,All,85-89,6212
2012,36,All,90-94,2393
2012,36,All,95+,665
2012,36,All,Total,228692
2012,37,All,0-4,34067
2012,37,All,5-9,35357
2012,37,All,10-14,35872
2012,37,All,15-19,38057
2012,37,All,20-24,38016
2012,37,All,25-29,34763
2012,37,All,30-34,34479
2012,37,All,35-39,36957
2012,37,All,40-44,40578
2012,37,All,45-49,40117
2012,37,All,50-54,39391
2012,37,All,55-59,39055
2012,37,All,60-64,38489
2012,37,All,65-69,28283
2012,37,All,70-74,23012
2012,37,All,75-79,22580
2012,37,All,80-84,18663
2012,37,All,85-89,12599
2012,37,All,90-94,5067
2012,37,All,95+,1535
2012,37,All,Total,596937
2012,38,All,0-4,79750
2012,38,All,5-9,80950
2012,38,All,10-14,80326
2012,38,All,15-19,77729
2012,38,All,20-24,79070
2012,38,All,25-29,74036
2012,38,All,30-34,77247
2012,38,All,35-39,82887
2012,38,All,40-44,88605
2012,38,All,45-49,86253
2012,38,All,50-54,79007
2012,38,All,55-59,74753
2012,38,All,60-64,71897
2012,38,All,65-69,54112
2012,38,All,70-74,41951
2012,38,All,75-79,37775
2012,38,All,80-84,30621
2012,38,All,85-89,19258
2012,38,All,90-94,7014
2012,38,All,95+,1752
2012,38,All,Total,1224993
2012,39,All,0-4,14867
2012,39,All,5-9,16214
2012,39,All,10-14,16800
2012,39,All,15-19,14634
2012,39,All,20-24,12258
2012,39,All,25-29,13142
2012,39,All,30-34,14459
2012,39,All,35-39,16248
2012,39,All,40-44,18538
2012,39,All,45-49,18592
2012,39,All,50-54,17788
2012,39,All,55-59,17582
2012,39,All,60-64,17832
2012,39,All,65-69,13642
2012,39,All,70-74,10609
2012,39,All,75-79,10165
2012,39,All,80-84,8660
2012,39,All,85-89,5924
2012,39,All,90-94,2359
2012,39,All,95+,619
2012,39,All,Total,260932
2012,40,All,0-4,20781
2012,40,All,5-9,22452
2012,40,All,10-14,23822
2012,40,All,15-19,19721
2012,40,All,20-24,16665
2012,40,All,25-29,18595
2012,40,All,30-34,21768
2012,40,All,35-39,25465
2012,40,All,40-44,28002
2012,40,All,45-49,28480
2012,40,All,50-54,27449
2012,40,All,55-59,26958
2012,40,All,60-64,29326
2012,40,All,65-69,22248
2012,40,All,70-74,17456
2012,40,All,75-79,17112
2012,40,All,80-84,13619
2012,40,All,85-89,8738
2012,40,All,90-94,3363
2012,40,All,95+,864
2012,40,All,Total,392884
2012,41,All,0-4,18808
2012,41,All,5-9,20042
2012,41,All,10-14,19969
2012,41,All,15-19,17454
2012,41,All,20-24,15324
2012,41,All,25-29,16227
2012,41,All,30-34,17447
2012,41,All,35-39,20470
2012,41,All,40-44,22628
2012,41,All,45-49,22577
2012,41,All,50-54,22543
2012,41,All,55-59,22826
2012,41,All,60-64,24104
2012,41,All,65-69,17236
2012,41,All,70-74,14807
2012,41,All,75-79,14681
2012,41,All,80-84,12230
2012,41,All,85-89,8079
2012,41,All,90-94,3270
2012,41,All,95+,934
2012,41,All,Total,331656
2012,42,All,0-4,46185
2012,42,All,5-9,46366
2012,42,All,10-14,46242
2012,42,All,15-19,45347
2012,42,All,20-24,43052
2012,42,All,25-29,41832
2012,42,All,30-34,43004
2012,42,All,35-39,46399
2012,42,All,40-44,50049
2012,42,All,45-49,49358
2012,42,All,50-54,48687
2012,42,All,55-59,49009
2012,42,All,60-64,50537
2012,42,All,65-69,37132
2012,42,All,70-74,30390
2012,42,All,75-79,30725
2012,42,All,80-84,25056
2012,42,All,85-89,16495
2012,42,All,90-94,6210
2012,42,All,95+,1688
2012,42,All,Total,753763
2012,43,All,0-4,12336
2012,43,All,5-9,14023
2012,43,All,10-14,14032
2012,43,All,15-19,12264
2012,43,All,20-24,9871
2012,43,All,25-29,10582
2012,43,All,30-34,12231
2012,43,All,35-39,14220
2012,43,All,40-44,15835
2012,43,All,45-49,15889
2012,43,All,50-54,15746
2012,43,All,55-59,15730
2012,43,All,60-64,16441
2012,43,All,65-69,11645
2012,43,All,70-74,9859
2012,43,All,75-79,9655
2012,43,All,80-84,7880
2012,43,All,85-89,5138
2012,43,All,90-94,1866
2012,43,All,95+,443
2012,43,All,Total,225686
2012,44,All,0-4,84441
2012,44,All,5-9,86647
2012,44,All,10-14,85290
2012,44,All,15-19,81953
2012,44,All,20-24,83362
2012,44,All,25-29,79948
2012,44,All,30-34,84507
2012,44,All,35-39,89373
2012,44,All,40-44,92243
2012,44,All,45-49,89584
2012,44,All,50-54,85178
2012,44,All,55-59,81467
2012,44,All,60-64,81652
2012,44,All,65-69,55003
2012,44,All,70-74,43921
2012,44,All,75-79,42198
2012,44,All,80-84,33740
2012,44,All,85-89,22105
2012,44,All,90-94,8331
2012,44,All,95+,2378
2012,44,All,Total,1313321
2012,45,All,0-4,43142
2012,45,All,5-9,43201
2012,45,All,10-14,41691
2012,45,All,15-19,39564
2012,45,All,20-24,38284
2012,45,All,25-29,39345
2012,45,All,30-34,40490
2012,45,All,35-39,42958
2012,45,All,40-44,45182
2012,45,All,45-49,44643
2012,45,All,50-54,43446
2012,45,All,55-59,42807
2012,45,All,60-64,43254
2012,45,All,65-69,30227
2012,45,All,70-74,23745
2012,45,All,75-79,23099
2012,45,All,80-84,18680
2012,45,All,85-89,12380
2012,45,All,90-94,4779
2012,45,All,95+,1380
2012,45,All,Total,662297
2012,46,All,0-4,7791
2012,46,All,5-9,8833
2012,46,All,10-14,9482
2012,46,All,15-19,8369
2012,46,All,20-24,6666
2012,46,All,25-29,7226
2012,46,All,30-34,8019
2012,46,All,35-39,9840
2012,46,All,40-44,11255
2012,46,All,45-49,12176
2012,46,All,50-54,12647
2012,46,All,55-59,13191
2012,46,All,60-64,14485
2012,46,All,65-69,10926
2012,46,All,70-74,9196
2012,46,All,75-79,8921
2012,46,All,80-84,7464
2012,46,All,85-89,5266
2012,46,All,90-94,2041
2012,46,All,95+,552
2012,46,All,Total,174346
2012,47,All,0-4,17371
2012,47,All,5-9,18446
2012,47,All,10-14,19114
2012,47,All,15-19,17089
2012,47,All,20-24,15402
2012,47,All,25-29,16351
2012,47,All,30-34,17234
2012,47,All,35-39,19083
2012,47,All,40-44,21521
2012,47,All,45-49,22978
2012,47,All,50-54,22802
2012,47,All,55-59,23170
2012,47,All,60-64,24595
2012,47,All,65-69,19151
2012,47,All,70-74,15758
2012,47,All,75-79,15650
2012,47,All,80-84,13085
2012,47,All,85-89,9014
2012,47,All,90-94,3311
2012,47,All,95+,994
2012,47,All,Total,332119
2012,48,All,0-4,3878
2012,48,All,5-9,4183
2012,48,All,10-14,4243
2012,48,All,15-19,4061
2012,48,All,20-24,3504
2012,48,All,25-29,3776
2012,48,All,30-34,4095
2012,48,All,35-39,4616
2012,48,All,40-44,5411
2012,48,All,45-49,5373
2012,48,All,50-54,5477
2012,48,All,55-59,5626
2012,48,All,60-64,5801
2012,48,All,65-69,4195
2012,48,All,70-74,3590
2012,48,All,75-79,3355
2012,48,All,80-84,2700
2012,48,All,85-89,1946
2012,48,All,90-94,811
2012,48,All,95+,248
2012,48,All,Total,76889
2012,49,All,0-4,52092
2012,49,All,5-9,53418
2012,49,All,10-14,52772
2012,49,All,15-19,52129
2012,49,All,20-24,50541
2012,49,All,25-29,46118
2012,49,All,30-34,48229
2012,49,All,35-39,50979
2012,49,All,40-44,52371
2012,49,All,45-49,52924
2012,49,All,50-54,51526
2012,49,All,55-59,49793
2012,49,All,60-64,48096
2012,49,All,65-69,33696
2012,49,All,70-74,27745
2012,49,All,75-79,27246
2012,49,All,80-84,22834
2012,49,All,85-89,15411
2012,49,All,90-94,5856
2012,49,All,95+,1781
2012,49,All,Total,795557
2012,50,All,0-4,27096
2012,50,All,5-9,29482
2012,50,All,10-14,30812
2012,50,All,15-19,28359
2012,50,All,20-24,23670
2012,50,All,25-29,25255
2012,50,All,30-34,26510
2012,50,All,35-39,29365
2012,50,All,40-44,32739
2012,50,All,45-49,35405
2012,50,All,50-54,35724
2012,50,All,55-59,34585
2012,50,All,60-64,35656
2012,50,All,65-69,24833
2012,50,All,70-74,21975
2012,50,All,75-79,22441
2012,50,All,80-84,18528
2012,50,All,85-89,11580
2012,50,All,90-94,4240
2012,50,All,95+,1085
2012,50,All,Total,499340
2012,51,All,0-4,34978
2012,51,All,5-9,34065
2012,51,All,10-14,34053
2012,51,All,15-19,36689
2012,51,All,20-24,40549
2012,51,All,25-29,36318
2012,51,All,30-34,34991
2012,51,All,35-39,36130
2012,51,All,40-44,38290
2012,51,All,45-49,38259
2012,51,All,50-54,38065
2012,51,All,55-59,37451
2012,51,All,60-64,37085
2012,51,All,65-69,24701
2012,51,All,70-74,19372
2012,51,All,75-79,18163
2012,51,All,80-84,14982
2012,51,All,85-89,9874
2012,51,All,90-94,3693
2012,51,All,95+,1042
2012,51,All,Total,568750
2012,52,All,0-4,9786
2012,52,All,5-9,10347
2012,52,All,10-14,10829
2012,52,All,15-19,9521
2012,52,All,20-24,9464
2012,52,All,25-29,10005
2012,52,All,30-34,9884
2012,52,All,35-39,10606
2012,52,All,40-44,11711
2012,52,All,45-49,12933
2012,52,All,50-54,13104
2012,52,All,55-59,13214
2012,52,All,60-64,13267
2012,52,All,65-69,9269
2012,52,All,70-74,8024
2012,52,All,75-79,7742
2012,52,All,80-84,6426
2012,52,All,85-89,4136
2012,52,All,90-94,1476
2012,52,All,95+,392
2012,52,All,Total,182136
2012,53,All,0-4,19616
2012,53,All,5-9,21212
2012,53,All,10-14,20756
2012,53,All,15-19,18095
2012,53,All,20-24,14996
2012,53,All,25-29,15986
2012,53,All,30-34,17714
2012,53,All,35-39,19640
2012,53,All,40-44,20786
2012,53,All,45-49,20884
2012,53,All,50-54,20547
2012,53,All,55-59,19728
2012,53,All,60-64,19952
2012,53,All,65-69,13239
2012,53,All,70-74,11661
2012,53,All,75-79,12325
2012,53,All,80-84,10176
2012,53,All,85-89,6898
2012,53,All,90-94,2503
2012,53,All,95+,739
2012,53,All,Total,307453
2012,54,All,0-4,42145
2012,54,All,5-9,42743
2012,54,All,10-14,43511
2012,54,All,15-19,48159
2012,54,All,20-24,54930
2012,54,All,25-29,47478
2012,54,All,30-34,45764
2012,54,All,35-39,46145
2012,54,All,40-44,48478
2012,54,All,45-49,49055
2012,54,All,50-54,49271
2012,54,All,55-59,48062
2012,54,All,60-64,45597
2012,54,All,65-69,31228
2012,54,All,70-74,26412
2012,54,All,75-79,25455
2012,54,All,80-84,20952
2012,54,All,85-89,12438
2012,54,All,90-94,4331
2012,54,All,95+,1112
2012,54,All,Total,733266
2012,55,All,0-4,10943
2012,55,All,5-9,11742
2012,55,All,10-14,12371
2012,55,All,15-19,10757
2012,55,All,20-24,10243
2012,55,All,25-29,10967
2012,55,All,30-34,10972
2012,55,All,35-39,11775
2012,55,All,40-44,12824
2012,55,All,45-49,13540
2012,55,All,50-54,13606
2012,55,All,55-59,13909
2012,55,All,60-64,13577
2012,55,All,65-69,8568
2012,55,All,70-74,7541
2012,55,All,75-79,7549
2012,55,All,80-84,6244
2012,55,All,85-89,4011
2012,55,All,90-94,1353
2012,55,All,95+,308
2012,55,All,Total,192800
2012,56,All,0-4,40626
2012,56,All,5-9,44487
2012,56,All,10-14,45503
2012,56,All,15-19,40859
2012,56,All,20-24,34967
2012,56,All,25-29,36397
2012,56,All,30-34,40085
2012,56,All,35-39,45850
2012,56,All,40-44,49620
2012,56,All,45-49,50719
2012,56,All,50-54,51376
2012,56,All,55-59,49533
2012,56,All,60-64,53917
2012,56,All,65-69,38302
2012,56,All,70-74,31896
2012,56,All,75-79,31187
2012,56,All,80-84,24505
2012,56,All,85-89,15440
2012,56,All,90-94,5672
2012,56,All,95+,1431
2012,56,All,Total,732372
2012,57,All,0-4,59321
2012,57,All,5-9,60722
2012,57,All,10-14,61311
2012,57,All,15-19,59579
2012,57,All,20-24,63290
2012,57,All,25-29,66942
2012,57,All,30-34,66509
2012,57,All,35-39,67472
2012,57,All,40-44,73036
2012,57,All,45-49,78592
2012,57,All,50-54,77088
2012,57,All,55-59,74074
2012,57,All,60-64,65480
2012,57,All,65-69,43722
2012,57,All,70-74,41451
2012,57,All,75-79,36957
2012,57,All,80-84,28821
2012,57,All,85-89,15660
2012,57,All,90-94,5218
2012,57,All,95+,1223
2012,57,All,Total,1046468
2012,58,All,0-4,10251
2012,58,All,5-9,11015
2012,58,All,10-14,11581
2012,58,All,15-19,10788
2012,58,All,20-24,9618
2012,58,All,25-29,9903
2012,58,All,30-34,10548
2012,58,All,35-39,11675
2012,58,All,40-44,13036
2012,58,All,45-49,14527
2012,58,All,50-54,15421
2012,58,All,55-59,16711
2012,58,All,60-64,18005
2012,58,All,65-69,12856
2012,58,All,70-74,11399
2012,58,All,75-79,11152
2012,58,All,80-84,9197
2012,58,All,85-89,6044
2012,58,All,90-94,2407
2012,58,All,95+,652
2012,58,All,Total,216786
2012,59,All,0-4,175990
2012,59,All,5-9,174482
2012,59,All,10-14,171631
2012,59,All,15-19,173038
2012,59,All,20-24,186675
2012,59,All,25-29,174589
2012,59,All,30-34,169272
2012,59,All,35-39,170654
2012,59,All,40-44,171198
2012,59,All,45-49,170720
2012,59,All,50-54,166203
2012,59,All,55-59,160277
2012,59,All,60-64,151915
2012,59,All,65-69,99247
2012,59,All,70-74,78209
2012,59,All,75-79,76628
2012,59,All,80-84,62799
2012,59,All,85-89,38073
2012,59,All,90-94,12769
2012,59,All,95+,2759
2012,59,All,Total,2587128
2012,60,All,0-4,55082
2012,60,All,5-9,56102
2012,60,All,10-14,55762
2012,60,All,15-19,49694
2012,60,All,20-24,48257
2012,60,All,25-29,49589
2012,60,All,30-34,52010
2012,60,All,35-39,56161
2012,60,All,40-44,59093
2012,60,All,45-49,59014
2012,60,All,50-54,55092
2012,60,All,55-59,52519
2012,60,All,60-64,49709
2012,60,All,65-69,31836
2012,60,All,70-74,24560
2012,60,All,75-79,22407
2012,60,All,80-84,17546
2012,60,All,85-89,10842
2012,60,All,90-94,4020
2012,60,All,95+,1005
2012,60,All,Total,810300
2012,61,All,0-4,16079
2012,61,All,5-9,17082
2012,61,All,10-14,18057
2012,61,All,15-19,16484
2012,61,All,20-24,13677
2012,61,All,25-29,14212
2012,61,All,30-34,14859
2012,61,All,35-39,16381
2012,61,All,40-44,18626
2012,61,All,45-49,19777
2012,61,All,50-54,20253
2012,61,All,55-59,20467
2012,61,All,60-64,21726
2012,61,All,65-69,14894
2012,61,All,70-74,12685
2012,61,All,75-79,13333
2012,61,All,80-84,10843
2012,61,All,85-89,7120
2012,61,All,90-94,2754
2012,61,All,95+,706
2012,61,All,Total,290015
2012,62,All,0-4,97715
2012,62,All,5-9,98529
2012,62,All,10-14,99530
2012,62,All,15-19,90947
2012,62,All,20-24,86607
2012,62,All,25-29,89570
2012,62,All,30-34,89424
2012,62,All,35-39,95868
2012,62,All,40-44,98842
2012,62,All,45-49,99950
2012,62,All,50-54,99185
2012,62,All,55-59,96662
2012,62,All,60-64,93612
2012,62,All,65-69,59064
2012,62,All,70-74,47807
2012,62,All,75-79,48066
2012,62,All,80-84,39182
2012,62,All,85-89,23472
2012,62,All,90-94,7911
2012,62,All,95+,1685
2012,62,All,Total,1463628
2012,63,All,0-4,34179
2012,63,All,5-9,34927
2012,63,All,10-14,34853
2012,63,All,15-19,36932
2012,63,All,20-24,42863
2012,63,All,25-29,37125
2012,63,All,30-34,37471
2012,63,All,35-39,40688
2012,63,All,40-44,43445
2012,63,All,45-49,43686
2012,63,All,50-54,43869
2012,63,All,55-59,43641
2012,63,All,60-64,44752
2012,63,All,65-69,32163
2012,63,All,70-74,24821
2012,63,All,75-79,24124
2012,63,All,80-84,19654
2012,63,All,85-89,12839
2012,63,All,90-94,4829
2012,63,All,95+,1231
2012,63,All,Total,638092
2012,64,All,0-4,33095
2012,64,All,5-9,36242
2012,64,All,10-14,37875
2012,64,All,15-19,36111
2012,64,All,20-24,34532
2012,64,All,25-29,34521
2012,64,All,30-34,37993
2012,64,All,35-39,40915
2012,64,All,40-44,46458
2012,64,All,45-49,47546
2012,64,All,50-54,46439
2012,64,All,55-59,44635
2012,64,All,60-64,45331
2012,64,All,65-69,34471
2012,64,All,70-74,28885
2012,64,All,75-79,28461
2012,64,All,80-84,23748
2012,64,All,85-89,15640
2012,64,All,90-94,6208
2012,64,All,95+,1765
2012,64,All,Total,660871
2012,65,All,0-4,10752
2012,65,All,5-9,11860
2012,65,All,10-14,12610
2012,65,All,15-19,12411
2012,65,All,20-24,11030
2012,65,All,25-29,10487
2012,65,All,30-34,11222
2012,65,All,35-39,12790
2012,65,All,40-44,15339
2012,65,All,45-49,16234
2012,65,All,50-54,16397
2012,65,All,55-59,16559
2012,65,All,60-64,17282
2012,65,All,65-69,12851
2012,65,All,70-74,11200
2012,65,All,75-79,11148
2012,65,All,80-84,9474
2012,65,All,85-89,6233
2012,65,All,90-94,2296
2012,65,All,95+,679
2012,65,All,Total,228854
2012,66,All,0-4,24743
2012,66,All,5-9,26067
2012,66,All,10-14,27825
2012,66,All,15-19,24526
2012,66,All,20-24,22537
2012,66,All,25-29,22937
2012,66,All,30-34,24652
2012,66,All,35-39,27159
2012,66,All,40-44,30570
2012,66,All,45-49,31005
2012,66,All,50-54,29771
2012,66,All,55-59,29242
2012,66,All,60-64,33044
2012,66,All,65-69,27165
2012,66,All,70-74,21470
2012,66,All,75-79,20984
2012,66,All,80-84,17263
2012,66,All,85-89,11163
2012,66,All,90-94,4538
2012,66,All,95+,1132
2012,66,All,Total,457793
2012,67,All,0-4,64628
2012,67,All,5-9,64631
2012,67,All,10-14,66326
2012,67,All,15-19,69507
2012,67,All,20-24,76405
2012,67,All,25-29,70704
2012,67,All,30-34,71234
2012,67,All,35-39,73160
2012,67,All,40-44,79391
2012,67,All,45-49,81382
2012,67,All,50-54,77206
2012,67,All,55-59,73218
2012,67,All,60-64,65829
2012,67,All,65-69,44220
2012,67,All,70-74,40222
2012,67,All,75-79,35003
2012,67,All,80-84,27668
2012,67,All,85-89,16430
2012,67,All,90-94,6016
2012,67,All,95+,1487
2012,67,All,Total,1104667
2012,68,All,0-4,45571
2012,68,All,5-9,46132
2012,68,All,10-14,47147
2012,68,All,15-19,43106
2012,68,All,20-24,41981
2012,68,All,25-29,45215
2012,68,All,30-34,46787
2012,68,All,35-39,49662
2012,68,All,40-44,55602
2012,68,All,45-49,56474
2012,68,All,50-54,54031
2012,68,All,55-59,51878
2012,68,All,60-64,47238
