year,department,sex,age_group,value
2010,10,All,55-59,20957
2010,10,All,60-64,19831
2010,10,All,65-69,12747
2010,10,All,70-74,12461
2010,10,All,75-79,11733
2010,10,All,80-84,8762
2010,10,All,85-89,6076
2010,10,All,90-94,1599
2010,10,All,95+,753
2010,10,All,Total,303327
2010,11,All,0-4,19555
2010,11,All,5-9,20290
2010,11,All,10-14,21283
2010,11,All,15-19,19254
2010,11,All,20-24,17002
2010,11,All,25-29,17537
2010,11,All,30-34,18414
2010,11,All,35-39,23243
2010,11,All,40-44,24427
2010,11,All,45-49,24501
2010,11,All,50-54,23685
2010,11,All,55-59,24692
2010,11,All,60-64,25872
2010,11,All,65-69,18482
2010,11,All,70-74,16574
2010,11,All,75-79,16368
2010,11,All,80-84,13077
2010,11,All,85-89,8893
2010,11,All,90-94,2204
2010,11,All,95+,1114
2010,11,All,Total,356467
2010,12,All,0-4,14170
2010,12,All,5-9,14853
2010,12,All,10-14,14944
2010,12,All,15-19,13807
2010,12,All,20-24,11932
2010,12,All,25-29,13305
2010,12,All,30-34,13832
2010,12,All,35-39,17219
2010,12,All,40-44,18738
2010,12,All,45-49,19268
2010,12,All,50-54,19099
2010,12,All,55-59,19780
2010,12,All,60-64,19469
2010,12,All,65-69,14036
2010,12,All,70-74,14864
2010,12,All,75-79,14682
2010,12,All,80-84,11750
2010,12,All,85-89,8008
2010,12,All,90-94,1967
2010,12,All,95+,1082
2010,12,All,Total,276805
2010,13,All,0-4,117151
2010,13,All,5-9,116993
2010,13,All,10-14,118131
2010,13,All,15-19,126491
2010,13,All,20-24,131220
2010,13,All,25-29,120564
2010,13,All,30-34,116566
2010,13,All,35-39,134907
2010,13,All,40-44,137593
2010,13,All,45-49,136822
2010,13,All,50-54,129051
2010,13,All,55-59,125939
2010,13,All,60-64,117917
2010,13,All,65-69,88824
2010,13,All,70-74,75633
2010,13,All,75-79,71280
2010,13,All,80-84,56049
2010,13,All,85-89,36685
2010,13,All,90-94,9863
2010,13,All,95+,4339
2010,13,All,Total,1972018
2010,14,All,0-4,40918
2010,14,All,5-9,42684
2010,14,All,10-14,41864
2010,14,All,15-19,44419
2010,14,All,20-24,45650
2010,14,All,25-29,40995
2010,14,All,30-34,38681
2010,14,All,35-39,45514
2010,14,All,40-44,45025
2010,14,All,45-49,45663
2010,14,All,50-54,46377
2010,14,All,55-59,47297
2010,14,All,60-64,42566
2010,14,All,65-69,26734
2010,14,All,70-74,26808
2010,14,All,75-79,25232
2010,14,All,80-84,19103
2010,14,All,85-89,12754
2010,14,All,90-94,3269
2010,14,All,95+,1552
2010,14,All,Total,683105
2010,15,All,0-4,6927
2010,15,All,5-9,7529
2010,15,All,10-14,7150
2010,15,All,15-19,7026
2010,15,All,20-24,6322
2010,15,All,25-29,7154
2010,15,All,30-34,7429
2010,15,All,35-39,9355
2010,15,All,40-44,10076
2010,15,All,45-49,10962
2010,15,All,50-54,11032
2010,15,All,55-59,11467
2010,15,All,60-64,10677
2010,15,All,65-69,7194
2010,15,All,70-74,7996
2010,15,All,75-79,7811
2010,15,All,80-84,6293
2010,15,All,85-89,4135
2010,15,All,90-94,1053
2010,15,All,95+,574
2010,15,All,Total,148162
2010,16,All,0-4,18324
2010,16,All,5-9,19189
2010,16,All,10-14,19993
2010,16,All,15-19,19335
2010,16,All,20-24,17138
2010,16,All,25-29,18010
2010,16,All,30-34,17903
2010,16,All,35-39,22562
2010,16,All,40-44,24121
2010,16,All,45-49,25024
2010,16,All,50-54,25528
2010,16,All,55-59,26154
2010,16,All,60-64,24111
2010,16,All,65-69,16694
2010,16,All,70-74,16474
2010,16,All,75-79,16264
2010,16,All,80-84,12801
2010,16,All,85-89,8723
2010,16,All,90-94,2118
2010,16,All,95+,1111
2010,16,All,Total,351577
2010,17,All,0-4,31127
2010,17,All,5-9,34298
2010,17,All,10-14,34841
2010,17,All,15-19,34321
2010,17,All,20-24,31080
2010,17,All,25-29,30390
2010,17,All,30-34,31272
2010,17,All,35-39,39872
2010,17,All,40-44,40999
2010,17,All,45-49,41429
2010,17,All,50-54,42579
2010,17,All,55-59,45046
2010,17,All,60-64,47089
2010,17,All,65-69,32999
2010,17,All,70-74,31061
2010,17,All,75-79,29088
2010,17,All,80-84,23307
2010,17,All,85-89,15609
2010,17,All,90-94,3846
2010,17,All,95+,2070
2010,17,All,Total,622323
2010,18,All,0-4,16444
2010,18,All,5-9,17416
2010,18,All,10-14,17685
2010,18,All,15-19,17451
2010,18,All,20-24,15083
2010,18,All,25-29,15824
2010,18,All,30-34,15468
2010,18,All,35-39,20002
2010,18,All,40-44,20994
2010,18,All,45-49,22005
2010,18,All,50-54,22216
2010,18,All,55-59,22541
2010,18,All,60-64,22571
2010,18,All,65-69,15433
2010,18,All,70-74,15041
2010,18,All,75-79,14130
2010,18,All,80-84,10911
2010,18,All,85-89,7319
2010,18,All,90-94,1827
2010,18,All,95+,896
2010,18,All,Total,311257
2010,19,All,0-4,11604
2010,19,All,5-9,12576
2010,19,All,10-14,12297
2010,19,All,15-19,12443
2010,19,All,20-24,11545
2010,19,All,25-29,11879
2010,19,All,30-34,12287
2010,19,All,35-39,15263
2010,19,All,40-44,15967
2010,19,All,45-49,16942
2010,19,All,50-54,17124
2010,19,All,55-59,17868
2010,19,All,60-64,17447
2010,19,All,65-69,12118
2010,19,All,70-74,12871
2010,19,All,75-79,12802
2010,19,All,80-84,10273
2010,19,All,85-89,7542
2010,19,All,90-94,1708
2010,19,All,95+,995
2010,19,All,Total,243551
2010,2A,All,0-4,6938
2010,2A,All,5-9,7413
2010,2A,All,10-14,7782
2010,2A,All,15-19,7744
2010,2A,All,20-24,7655
2010,2A,All,25-29,8109
2010,2A,All,30-34,8007
2010,2A,All,35-39,9991
2010,2A,All,40-44,10697
2010,2A,All,45-49,10898
2010,2A,All,50-54,10155
2010,2A,All,55-59,9827
2010,2A,All,60-64,9126
2010,2A,All,65-69,7972
2010,2A,All,70-74,6748
2010,2A,All,75-79,6061
2010,2A,All,80-84,4507
2010,2A,All,85-89,2622
2010,2A,All,90-94,940
2010,2A,All,95+,408
2010,2A,All,Total,143600
2010,2B,All,0-4,8324
2010,2B,All,5-9,8440
2010,2B,All,10-14,8516
2010,2B,All,15-19,9713
2010,2B,All,20-24,9406
2010,2B,All,25-29,9839
2010,2B,All,30-34,9835
2010,2B,All,35-39,11636
2010,2B,All,40-44,12011
2010,2B,All,45-49,11979
2010,2B,All,50-54,11211
2010,2B,All,55-59,11516
2010,2B,All,60-64,10875
2010,2B,All,65-69,8758
2010,2B,All,70-74,7765
2010,2B,All,75-79,6562
2010,2B,All,80-84,5002
2010,2B,All,85-89,3231
2010,2B,All,90-94,1022
2010,2B,All,95+,452
2010,2B,All,Total,166093
2010,21,All,0-4,28939
2010,21,All,5-9,30293
2010,21,All,10-14,30409
2010,21,All,15-19,34698
2010,21,All,20-24,38694
2010,21,All,25-29,32365
2010,21,All,30-34,30061
2010,21,All,35-39,35066
2010,21,All,40-44,35065
2010,21,All,45-49,35934
2010,21,All,50-54,35812
2010,21,All,55-59,35270
2010,21,All,60-64,32822
2010,21,All,65-69,20935
2010,21,All,70-74,19782
2010,21,All,75-79,18658
2010,21,All,80-84,14988
2010,21,All,85-89,10137
2010,21,All,90-94,2854
2010,21,All,95+,1576
2010,21,All,Total,524358
2010,22,All,0-4,33785
2010,22,All,5-9,36045
2010,22,All,10-14,35439
2010,22,All,15-19,32616
2010,22,All,20-24,27435
2010,22,All,25-29,28571
2010,22,All,30-34,29867
2010,22,All,35-39,38229
2010,22,All,40-44,38800
2010,22,All,45-49,39434
2010,22,All,50-54,40585
2010,22,All,55-59,41443
2010,22,All,60-64,42174
2010,22,All,65-69,28495
2010,22,All,70-74,29972
2010,22,All,75-79,27801
2010,22,All,80-84,22230
2010,22,All,85-89,13767
2010,22,All,90-94,3474
2010,22,All,95+,1479
2010,22,All,Total,591641
2010,23,All,0-4,5381
2010,23,All,5-9,5826
2010,23,All,10-14,6205
2010,23,All,15-19,5777
2010,23,All,20-24,5202
2010,23,All,25-29,5062
2010,23,All,30-34,5428
2010,23,All,35-39,7147
2010,23,All,40-44,7871
2010,23,All,45-49,8703
2010,23,All,50-54,9242
2010,23,All,55-59,9447
2010,23,All,60-64,9593
2010,23,All,65-69,6335
2010,23,All,70-74,6862
2010,23,All,75-79,7165
2010,23,All,80-84,6111
2010,23,All,85-89,4117
2010,23,All,90-94,908
2010,23,All,95+,647
2010,23,All,Total,123029
2010,24,All,0-4,19497
2010,24,All,5-9,21782
2010,24,All,10-14,22267
2010,24,All,15-19,20697
2010,24,All,20-24,17460
2010,24,All,25-29,18378
2010,24,All,30-34,19563
2010,24,All,35-39,25302
2010,24,All,40-44,27522
2010,24,All,45-49,28942
2010,24,All,50-54,29909
2010,24,All,55-59,31391
2010,24,All,60-64,32263
2010,24,All,65-69,22480
2010,24,All,70-74,22138
2010,24,All,75-79,21748
2010,24,All,80-84,17293
2010,24,All,85-89,11518
2010,24,All,90-94,2793
2010,24,All,95+,1206
2010,24,All,Total,414149
2010,25,All,0-4,33829
2010,25,All,5-9,32662
2010,25,All,10-14,31831
2010,25,All,15-19,35053
2010,25,All,20-24,36081
2010,25,All,25-29,35337
2010,25,All,30-34,32392
2010,25,All,35-39,36017
2010,25,All,40-44,36240
2010,25,All,45-49,35144
2010,25,All,50-54,33868
2010,25,All,55-59,33232
2010,25,All,60-64,31671
2010,25,All,65-69,20967
2010,25,All,70-74,20120
2010,25,All,75-79,18169
2010,25,All,80-84,13769
2010,25,All,85-89,8167
2010,25,All,90-94,2206
2010,25,All,95+,1015
2010,25,All,Total,527770
2010,26,All,0-4,30128
2010,26,All,5-9,31026
2010,26,All,10-14,30699
2010,26,All,15-19,28960
2010,26,All,20-24,25258
2010,26,All,25-29,26480
2010,26,All,30-34,26610
2010,26,All,35-39,32508
2010,26,All,40-44,34424
2010,26,All,45-49,34160
2010,26,All,50-54,33128
2010,26,All,55-59,32103
2010,26,All,60-64,31115
2010,26,All,65-69,22896
2010,26,All,70-74,20203
2010,26,All,75-79,18280
2010,26,All,80-84,14032
2010,26,All,85-89,9335
2010,26,All,90-94,2207
2010,26,All,95+,1163
2010,26,All,Total,484715
2010,27,All,0-4,39306
2010,27,All,5-9,40804
2010,27,All,10-14,39716
2010,27,All,15-19,35482
2010,27,All,20-24,31803
2010,27,All,25-29,34206
2010,27,All,30-34,35120
2010,27,All,35-39,42588
2010,27,All,40-44,42171
2010,27,All,45-49,41441
2010,27,All,50-54,40804
2010,27,All,55-59,39796
2010,27,All,60-64,35894
2010,27,All,65-69,22355
2010,27,All,70-74,20531
2010,27,All,75-79,18704
2010,27,All,80-84,13981
2010,27,All,85-89,8679
2010,27,All,90-94,2116
2010,27,All,95+,1046
2010,27,All,Total,586543
2010,28,All,0-4,28569
2010,28,All,5-9,29105
2010,28,All,10-14,27297
2010,28,All,15-19,25254
2010,28,All,20-24,22446
2010,28,All,25-29,25167
2010,28,All,30-34,25653
2010,28,All,35-39,30544
2010,28,All,40-44,29860
2010,28,All,45-49,29670
2010,28,All,50-54,29455
2010,28,All,55-59,29415
2010,28,All,60-64,26628
2010,28,All,65-69,16522
2010,28,All,70-74,15860
2010,28,All,75-79,14694
2010,28,All,80-84,12066
2010,28,All,85-89,7826
2010,28,All,90-94,1970
2010,28,All,95+,932
2010,28,All,Total,428933
2010,29,All,0-4,50849
2010,29,All,5-9,54278
2010,29,All,10-14,53903
2010,29,All,15-19,53597
2010,29,All,20-24,48522
2010,29,All,25-29,48960
2010,29,All,30-34,49580
2010,29,All,35-39,60808
2010,29,All,40-44,60666
2010,29,All,45-49,62683
2010,29,All,50-54,62684
2010,29,All,55-59,61120
2010,29,All,60-64,58899
2010,29,All,65-69,37626
2010,29,All,70-74,40914
2010,29,All,75-79,37930
2010,29,All,80-84,29689
2010,29,All,85-89,18895
2010,29,All,90-94,4296
2010,29,All,95+,1729
2010,29,All,Total,897628
2010,30,All,0-4,41449
2010,30,All,5-9,43664
2010,30,All,10-14,44211
2010,30,All,15-19,43167
2010,30,All,20-24,37574
2010,30,All,25-29,37060
2010,30,All,30-34,38416
2010,30,All,35-39,47132
2010,30,All,40-44,50279
2010,30,All,45-49,50520
2010,30,All,50-54,49103
2010,30,All,55-59,48415
2010,30,All,60-64,47406
2010,30,All,65-69,34163
2010,30,All,70-74,29428
2010,30,All,75-79,27951
2010,30,All,80-84,21056
2010,30,All,85-89,13811
2010,30,All,90-94,3412
2010,30,All,95+,1483
2010,30,All,Total,709700
2010,31,All,0-4,73591
2010,31,All,5-9,72370
2010,31,All,10-14,71862
2010,31,All,15-19,83005
2010,31,All,20-24,100800
2010,31,All,25-29,91421
2010,31,All,30-34,83286
2010,31,All,35-39,91076
2010,31,All,40-44,88458
2010,31,All,45-49,87911
2010,31,All,50-54,78519
2010,31,All,55-59,73957
2010,31,All,60-64,66574
2010,31,All,65-69,45303
2010,31,All,70-74,40169
2010,31,All,75-79,37688
2010,31,All,80-84,29803
2010,31,All,85-89,19985
2010,31,All,90-94,5357
2010,31,All,95+,2506
2010,31,All,Total,1243641
2010,32,All,0-4,9032
2010,32,All,5-9,10218
2010,32,All,10-14,10492
2010,32,All,15-19,9400
2010,32,All,20-24,7508
2010,32,All,25-29,7951
2010,32,All,30-34,8749
2010,32,All,35-39,11809
2010,32,All,40-44,12958
2010,32,All,45-49,13789
2010,32,All,50-54,13691
2010,32,All,55-59,14238
2010,32,All,60-64,13576
2010,32,All,65-69,9985
2010,32,All,70-74,9930
2010,32,All,75-79,9673
2010,32,All,80-84,7921
2010,32,All,85-89,5379
2010,32,All,90-94,1223
2010,32,All,95+,637
2010,32,All,Total,188159
2010,33,All,0-4,82216
2010,33,All,5-9,84477
2010,33,All,10-14,85118
2010,33,All,15-19,92179
2010,33,All,20-24,100653
2010,33,All,25-29,91768
2010,33,All,30-34,89178
2010,33,All,35-39,104282
2010,33,All,40-44,102255
2010,33,All,45-49,99548
2010,33,All,50-54,96142
2010,33,All,55-59,95176
2010,33,All,60-64,88024
2010,33,All,65-69,57275
2010,33,All,70-74,52413
2010,33,All,75-79,50004
2010,33,All,80-84,40085
2010,33,All,85-89,28163
2010,33,All,90-94,6970
2010,33,All,95+,3319
2010,33,All,Total,1449245
2010,34,All,0-4,58671
2010,34,All,5-9,59364
2010,34,All,10-14,60631
2010,34,All,15-19,65719
2010,34,All,20-24,75244
2010,34,All,25-29,64049
2010,34,All,30-34,60558
2010,34,All,35-39,69242
2010,34,All,40-44,71023
2010,34,All,45-49,69897
2010,34,All,50-54,65950
2010,34,All,55-59,66218
2010,34,All,60-64,67222
2010,34,All,65-69,49078
2010,34,All,70-74,42159
2010,34,All,75-79,39947
2010,34,All,80-84,30690
2010,34,All,85-89,20741
2010,34,All,90-94,5463
2010,34,All,95+,2692
2010,34,All,Total,1044558
2010,35,All,0-4,64321
2010,35,All,5-9,65011
2010,35,All,10-14,61918
2010,35,All,15-19,65512
2010,35,All,20-24,72213
2010,35,All,25-29,64488
2010,35,All,30-34,63000
2010,35,All,35-39,70530
2010,35,All,40-44,68528
2010,35,All,45-49,66971
2010,35,All,50-54,62179
2010,35,All,55-59,59015
2010,35,All,60-64,53426
2010,35,All,65-69,34150
2010,35,All,70-74,35865
2010,35,All,75-79,33032
2010,35,All,80-84,25355
2010,35,All,85-89,16800
2010,35,All,90-94,4000
2010,35,All,95+,1826
2010,35,All,Total,988140
2010,36,All,0-4,11563
2010,36,All,5-9,12720
2010,36,All,10-14,12638
2010,36,All,15-19,11723
2010,36,All,20-24,9944
2010,36,All,25-29,10808
2010,36,All,30-34,11519
2010,36,All,35-39,14548
2010,36,All,40-44,15717
2010,36,All,45-49,16111
2010,36,All,50-54,16511
2010,36,All,55-59,16959
2010,36,All,60-64,16682
2010,36,All,65-69,11745
2010,36,All,70-74,12142
2010,36,All,75-79,11928
2010,36,All,80-84,9424
2010,36,All,85-89,6217
2010,36,All,90-94,1545
2010,36,All,95+,732
2010,36,All,Total,231176
2010,37,All,0-4,33373
